name,association,birth date,height,age,age2
Mathew Ryan,AUS,1992/4/8,184,26,26.18
Brad Jones,AUS,1982/3/19,193,36,36.24
Daniel Vukovic,AUS,1985/3/27,187,33,33.22
Trent Sainsbury,AUS,1992/1/5,183,26,26.44
Aziz Behich,AUS,1990/12/16,170,27,27.49
Milos Degenek,AUS,1994/4/28,187,24,24.13
Josh Risdon,AUS,1992/7/27,169,25,25.88
Matthew Jurman,AUS,1989/12/8,190,28,28.52
James Meredith,AUS,1988/4/5,179,30,30.19
Mile Jedinak,AUS,1984/8/3,188,33,33.86
Mark Milligan,AUS,1985/8/4,178,32,32.86
Tom Rogic,AUS,1992/12/16,188,25,25.49
Massimo Luongo,AUS,1992/9/25,176,25,25.72
Aaron Mooy,AUS,1990/9/15,173,27,27.75
Jackson Irvine,AUS,1993/3/7,189,25,25.27
Daniel Arzani,AUS,1999/1/4,171,19,19.44
Dimitri Petratos,AUS,1992/11/10,176,25,25.59
Tim Cahill,AUS,1979/12/6,180,38,38.52
Robbie Kruse,AUS,1988/10/5,180,29,29.69
Mathew Leckie,AUS,1991/2/4,181,27,27.36
Tomi Juric,AUS,1991/7/22,190,26,26.9
Andrew Nabbout,AUS,1992/12/17,178,25,25.49
Jamie Maclaren,AUS,1993/7/29,178,24,24.88
AVERAGE,AUS,1990/4/25,181.22,27.61,28.14
Alireza Beiranvand,IRN,1992/9/21,194,25,25.73
Mohammad Rashid Mazaheri,IRN,1989/5/18,192,29,29.07
Amir Abedzadeh,IRN,1993/4/26,186,25,25.13
Pejman Montazeri,IRN,1983/9/6,185,34,34.77
Morteza Pouraliganji,IRN,1992/4/19,187,26,26.15
Sayed Majid Hosseini,IRN,1996/6/20,183,21,21.98
Rouzbeh Cheshmi,IRN,1993/7/24,192,24,24.89
Mohammad Reza Khanzadeh,IRN,1991/5/11,186,27,27.09
Ramin Rezaeian,IRN,1990/3/21,185,28,28.23
Milad Mohammadi,IRN,1993/9/29,178,24,24.71
Ehsan Haji Safi,IRN,1990/2/25,178,28,28.3
Omid Ebrahimi,IRN,1987/9/16,178,30,30.75
Saeid Ezatolahi,IRN,1996/10/1,190,21,21.7
Masoud Shojaei,IRN,1984/6/9,187,34,34.01
Ashkan Dejagah,IRN,1986/7/5,181,31,31.94
Alireza Jahanbakhsh,IRN,1993/8/11,180,24,24.84
Vahid Amiri,IRN,1988/4/2,179,30,30.2
Mehdi Torabi,IRN,1994/9/10,185,23,23.76
Saman Ghoddos,IRN,1993/9/6,177,24,24.77
Karim Ansarifard,IRN,1990/4/3,187,28,28.2
Reza Ghoochannejhad,IRN,1987/9/20,180,30,30.73
Mehdi Taremi,IRN,1992/7/18,187,25,25.91
Sardar Azmoun,IRN,1995/1/1,186,23,23.45
AVERAGE,IRN,1991/3/21,184.48,26.56,27.23
Eiji Kawashima,JPN,1983/3/20,185,35,35.24
Masaaki Higashiguchi,JPN,1986/5/12,184,32,32.09
Kosuke Nakamura,JPN,1995/2/27,184,23,23.29
Yuto Nagatomo,JPN,1986/9/12,170,31,31.75
Maya Yoshida,JPN,1988/8/24,189,29,29.81
Hiroki Sakai,JPN,1990/4/12,183,28,28.17
Gotoku Sakai,JPN,1991/3/14,176,27,27.25
Tomoaki Makino,JPN,1987/5/11,182,31,31.09
Gen Shoji,JPN,1992/12/11,182,25,25.51
Wataru Endo,JPN,1993/2/9,178,25,25.34
Naomichi Ueda,JPN,1994/10/24,186,23,23.64
Makoto Hasebe,JPN,1984/1/18,180,34,34.41
Keisuke Honda,JPN,1986/6/13,182,32,32
Shinji Kagawa,JPN,1989/3/17,175,29,29.24
Hotaru Yamaguchi,JPN,1990/10/6,173,27,27.69
Genki Haraguchi,JPN,1991/5/9,178,27,27.1
Takashi Usami,JPN,1992/5/6,178,26,26.11
Gaku Shibasaki,JPN,1992/5/28,175,26,26.05
Takashi Inui,JPN,1988/6/2,169,30,30.03
Ryota Oshima,JPN,1993/1/23,168,25,25.39
Shinji Okazaki,JPN,1986/4/16,174,32,32.16
Yuya Osako,JPN,1990/5/18,182,28,28.07
Yoshinori Muto,JPN,1992/7/15,179,25,25.92
AVERAGE,JPN,1989/11/14,178.78,27.95,28.58
Seung-gyu Kim,KOR,1990/9/30,187,27,27.7
Jin-hyeon Kim,KOR,1987/7/6,193,30,30.94
Hyun-woo Cho,KOR,1991/9/25,189,26,26.72
Hyun-soo Jang,KOR,1991/9/28,187,26,26.71
Joo-ho Park,KOR,1987/1/16,174,31,31.41
Yong Lee,KOR,1986/12/24,180,31,31.47
Yo-han Go,KOR,1988/3/10,170,30,30.26
Min-woo Kim,KOR,1990/2/25,172,28,28.3
Chul Hong,KOR,1990/9/17,176,27,27.74
Young-sun Yun,KOR,1988/10/4,185,29,29.69
Seung-hyun Jung,KOR,1994/4/3,188,24,24.2
Young-gwon Kim,KOR,1990/2/27,184,28,28.29
Ban-suk Oh,KOR,1988/5/20,189,30,30.07
Sung-yueng Ki,KOR,1989/1/24,186,29,29.39
Ja-cheol Koo,KOR,1989/2/27,182,29,29.29
Jae-sung Lee,KOR,1992/8/10,180,25,25.84
Woo-young Jung,KOR,1989/12/14,186,28,28.5
Seung-woo Lee,KOR,1998/1/6,170,20,20.44
Se-Jong Ju,KOR,1990/10/30,176,27,27.62
Seon-min Moon,KOR,1992/6/9,172,26,26.01
Heung-min Son,KOR,1992/7/8,183,25,25.93
Shin-wook Kim,KOR,1988/4/14,197,30,30.17
Hee-chang Hwang,KOR,1996/1/26,177,22,22.38
AVERAGE,KOR,1990/8/31,181.87,27.24,27.79
Yasser Al-Mosailem,KSA,1984/2/27,186,34,34.3
Abdullah Al-Mayouf,KSA,1987/1/23,178,31,31.39
Mohammed Al-Owais,KSA,1991/10/10,187,26,26.68
Osama Hawsawi,KSA,1984/3/31,188,34,34.21
Omar Hawsawi,KSA,1985/9/27,185,32,32.71
Mansoor Al-Harbi,KSA,1987/10/19,173,30,30.65
Yasser Al-Shahrani,KSA,1992/5/25,170,26,26.05
Motaz Hawsawi,KSA,1992/2/17,180,26,26.32
Mohammed Al-Burayk,KSA,1992/9/15,173,25,25.75
Ali Al-Bulaihi,KSA,1989/11/21,182,28,28.56
Abdullah Al-Khaibri,KSA,1996/8/16,175,21,21.83
Abdulmalek Al-Khaibri,KSA,1986/3/13,177,32,32.25
Abdullah Otayf,KSA,1992/8/3,177,25,25.86
Taisir Al-Jassim,KSA,1984/7/25,169,33,33.89
Hussain Al-Mogahwi,KSA,1988/3/24,174,30,30.22
Salman Al-Faraj,KSA,1989/8/1,179,28,28.87
Mohamed Kanno,KSA,1994/9/22,192,23,23.73
Hattan Bahebri,KSA,1992/7/16,170,25,25.91
Salem Al-Dawsari,KSA,1991/8/19,174,26,26.82
Fahad Al-Muwallad,KSA,1994/9/14,168,23,23.75
Yahya Al-Shehri,KSA,1990/6/26,165,27,27.97
Muhannad Asiri,KSA,1986/10/14,185,31,31.67
Mohammad Al-Sahlawi,KSA,1987/1/10,179,31,31.42
AVERAGE,KSA,1989/9/20,177.65,28.13,28.73